QK93100275,OSD: VIRTUAL,OSD: VIRTUALIZATION,OSD: VIRTUALOSD: VIRTUALIZATION
Q 93201125,OSD: LANDSCA,OSD: LANDSCAPE VIRTUALIZATION MANAGEMENT,OSD: LANDSCAOSD: LANDSCAPE VIRTUALIZATION MANAGEMENT
Q 93200365,OSD: SRM SEL,OSD: SRM SELF-SERVICE PROCUREMENT,OSD: SRM SELOSD: SRM SELF-SERVICE PROCUREMENT
Q 93200468,OSD: IS AUTO,OSD: IS AUTOMOTIVE,OSD: IS AUTOOSD: IS AUTOMOTIVE
QK93100026,OSD: CRM,OSD: CRM,OSD: CRM    OSD: CRM
Q 93200355,OSD: CRM SAL,OSD: CRM SALES (ONLINE),OSD: CRM SALOSD: CRM SALES (ONLINE)
Q 93200356,OSD: CRM SER,OSD: CRM SERVICE (ONLINE),OSD: CRM SEROSD: CRM SERVICE (ONLINE)
Q 93200358,OSD: CRM BIL,OSD: CRM BILLING,OSD: CRM BILOSD: CRM BILLING
Q 93200361,OSD: CRM INT,OSD: CRM INTERACTION CENTER (IC/ IC WEB),OSD: CRM INTOSD: CRM INTERACTION CENTER (IC/ IC WEB)
Q 93200364,OSD: CRM LOY,OSD: CRM LOYALTY MANAGEMENT,OSD: CRM LOYOSD: CRM LOYALTY MANAGEMENT
QK93100027,OSD: SRM,OSD: SRM,OSD: SRM    OSD: SRM
Q 93200366,OSD: SRM CON,OSD: SRM CONTRACT MANAGEMENT,OSD: SRM CONOSD: SRM CONTRACT MANAGEMENT
Q 93200367,OSD: SRM BID,OSD: SRM BIDDING & SOURCING,OSD: SRM BIDOSD: SRM BIDDING & SOURCING
Q 93200368,OSD: SRM ANA,OSD: SRM ANALYTICS,OSD: SRM ANAOSD: SRM ANALYTICS
Q 93200369,OSD: SRM PRO,OSD: SRM PROCURE. F. PUBLIC SECT. (PPS),OSD: SRM PROOSD: SRM PROCURE. F. PUBLIC SECT. (PPS)
QK93100028,OSD: PLM,OSD: PLM,OSD: PLM    OSD: PLM
Q 93200371,OSD: PLM REC,OSD: PLM RECIPE MANAGEMENT,OSD: PLM RECOSD: PLM RECIPE MANAGEMENT
Q 93200372,OSD: PLM ENV,OSD: PLM ENVIRONM.; HEALTH& SAFETY (EHS),OSD: PLM ENVOSD: PLM ENVIRONM.; HEALTH& SAFETY (EHS)
Q 93200373,OSD: PLM DOC,OSD: PLM DOCUMENT MANAGEMENT (DMS),OSD: PLM DOCOSD: PLM DOCUMENT MANAGEMENT (DMS)
Q 93200374,OSD: PLM EAS,OSD: PLM EASY DMS,OSD: PLM EASOSD: PLM EASY DMS
Q 93200375,OSD: PLM ANA,OSD: PLM ANALYTICS,OSD: PLM ANAOSD: PLM ANALYTICS
Q 93200376,OSD: PLM QUA,OSD: PLM QUALITY MANAGEMENT,OSD: PLM QUAOSD: PLM QUALITY MANAGEMENT
Q 93200377,OSD: PLM VAR,OSD: PLM VARIANT CONFIGURATION,OSD: PLM VAROSD: PLM VARIANT CONFIGURATION
Q 93200379,OSD: PLM CPR,OSD: PLM CPROJECTS,OSD: PLM CPROSD: PLM CPROJECTS
Q 93200380,OSD: PLM CFO,OSD: PLM CFOLDERS,OSD: PLM CFOOSD: PLM CFOLDERS
QK93100029,OSD: SCM,OSD: SCM,OSD: SCM    OSD: SCM
Q 93200381,OSD: SCM APO,OSD: SCM APO DEMAND PLANNING (DP),OSD: SCM APOOSD: SCM APO DEMAND PLANNING (DP)
Q 93200382,OSD: SCM APO,OSD: SCM APO SUPPLY NET. PLANNING (SNP),OSD: SCM APOOSD: SCM APO SUPPLY NET. PLANNING (SNP)
Q 93200383,OSD: SCM APO,OSD: SCM APO PROD PLAN& DET. SCHED PP/DS,OSD: SCM APOOSD: SCM APO PROD PLAN& DET. SCHED PP/DS
Q 93200385,OSD: SCM APO,OSD: SCM APO SPARE PARTS PLANNING (SPP),OSD: SCM APOOSD: SCM APO SPARE PARTS PLANNING (SPP)
Q 93200386,OSD: SCM APO,OSD: SCM APO GLOBAL ATP,OSD: SCM APOOSD: SCM APO GLOBAL ATP
Q 93200389,OSD: SCM FOR,OSD: SCM FORECAST AND REPLENISHM. (F&R),OSD: SCM FOROSD: SCM FORECAST AND REPLENISHM. (F&R)
QK93100030,OSD: ERP / E,OSD: ERP / ECC,OSD: ERP / EOSD: ERP / ECC
Q 93200392,OSD: ECC SAL,OSD: ECC SALES & DISTRIBUTION (SD),OSD: ECC SALOSD: ECC SALES & DISTRIBUTION (SD)
Q 93200394,OSD: ECC REV,OSD: ECC REVENUE RECOGNITION,OSD: ECC REVOSD: ECC REVENUE RECOGNITION
Q 93200395,OSD: ECC MAT,OSD: ECC MATERIALS MANAGEMENT (MM),OSD: ECC MATOSD: ECC MATERIALS MANAGEMENT (MM)
Q 93200396,OSD: ECC LOG,OSD: ECC LOGISTICS EXECUTION (LE),OSD: ECC LOGOSD: ECC LOGISTICS EXECUTION (LE)
Q 93200397,OSD: ECC WAR,OSD: ECC WAREHOUSE MANAGEMENT  (WM),OSD: ECC WAROSD: ECC WAREHOUSE MANAGEMENT  (WM)
Q 93200398,OSD: ECC PRO,OSD: ECC PRODUCTION PLANNING  (PP),OSD: ECC PROOSD: ECC PRODUCTION PLANNING  (PP)
Q 93200400,OSD: ECC PRO,OSD: ECC PROJECT SYSTEM (PS),OSD: ECC PROOSD: ECC PROJECT SYSTEM (PS)
Q 93200401,OSD: ECC PLA,OSD: ECC PLANT MAINTENANCE (PM),OSD: ECC PLAOSD: ECC PLANT MAINTENANCE (PM)
Q 93200402,OSD: ECC SRM,OSD: ECC SRM FOR ERP,OSD: ECC SRMOSD: ECC SRM FOR ERP
Q 93200407,OSD: ECC FIN,OSD: ECC FINANCIALS FI/CA,OSD: ECC FINOSD: ECC FINANCIALS FI/CA
Q 93200408,OSD: ECC TRE,OSD: ECC TREASURY,OSD: ECC TREOSD: ECC TREASURY
QK93100031,OSD: HCM,OSD: HCM,OSD: HCM    OSD: HCM
Q 93200411,OSD: HCM PAY,OSD: HCM PAYROLL ADMINISTRATION (PY),OSD: HCM PAYOSD: HCM PAYROLL ADMINISTRATION (PY)
Q 93200412,OSD: HCM TIM,OSD: HCM TIME MANAGEMENT (PT),OSD: HCM TIMOSD: HCM TIME MANAGEMENT (PT)
Q 93200414,OSD: HCM BEN,OSD: HCM BENEFITS ADMINISTRATION,OSD: HCM BENOSD: HCM BENEFITS ADMINISTRATION
Q 93200415,OSD: HCM COM,OSD: HCM COMPENSATION MANAGEMENT,OSD: HCM COMOSD: HCM COMPENSATION MANAGEMENT
Q 93200416,OSD: HCM ESS,OSD: HCM ESS / MSS (XSS),OSD: HCM ESSOSD: HCM ESS / MSS (XSS)
Q 93200417,OSD: HCM EMP,OSD: HCM EMPLOYEE INTERACTION CENTER,OSD: HCM EMPOSD: HCM EMPLOYEE INTERACTION CENTER
Q 93200418,OSD: HCM PER,OSD: HCM PERSONNEL COST PLANNING,OSD: HCM PEROSD: HCM PERSONNEL COST PLANNING
Q 93200419,OSD: HCM PER,OSD: HCM PERSONNEL DEVELOP./ PERF. MGMT,OSD: HCM PEROSD: HCM PERSONNEL DEVELOP./ PERF. MGMT
Q 93200422,OSD: HCM TRA,OSD: HCM TRAINING & EVENT MGMT (TEM),OSD: HCM TRAOSD: HCM TRAINING & EVENT MGMT (TEM)
Q 93200423,OSD: HCM LEA,OSD: HCM LEARNING SOLUTIONS (LSO),OSD: HCM LEAOSD: HCM LEARNING SOLUTIONS (LSO)
Q 93200425,OSD: HCM REC,OSD: HCM RECRUITING / ERECRUITING,OSD: HCM RECOSD: HCM RECRUITING / ERECRUITING
QK93100032,OSD: ENTERPR,OSD: ENTERPRISE PERFORMANCE  MGMT (EPM),OSD: ENTERPROSD: ENTERPRISE PERFORMANCE  MGMT (EPM)
Q 93200426,OSD: EPM BUS,OSD: EPM BUSINESS CONSOLID. (SEM-BCS),OSD: EPM BUSOSD: EPM BUSINESS CONSOLID. (SEM-BCS)
Q 93200427,OSD: EPM BOB,OSD: EPM BOBJ FINANCIAL CONSOLIDATION,OSD: EPM BOBOSD: EPM BOBJ FINANCIAL CONSOLIDATION
Q 93200428,OSD: EPM BOB,OSD: EPM BOBJ BUS PLAN&CONS BPC NETWEAV.,OSD: EPM BOBOSD: EPM BOBJ BUS PLAN&CONS BPC NETWEAV.
Q 93200429,OSD: EPM BOB,OSD: EPM BOBJ BUS PLAN&CONS BPC MICROS.,OSD: EPM BOBOSD: EPM BOBJ BUS PLAN&CONS BPC MICROS.
QK93100033,OSD: BI BUSI,OSD: BI BUSINESS INTELIGENCE,OSD: BI BUSIOSD: BI BUSINESS INTELIGENCE
QK93100035,OSD: BUSINES,OSD: BUSINESS OBJECTS (IDD / EIM),OSD: BUSINESOSD: BUSINESS OBJECTS (IDD / EIM)
Q 93200437,OSD: BW ACCE,OSD: BW ACCELERATOR (BWA),OSD: BW ACCEOSD: BW ACCELERATOR (BWA)
